,缺失率,唯一值数量,数据类型,3Sigma异常值比例
VendorID,0.0,4,int32,0.0130801213136821
tpep_pickup_datetime,0.0,1757191,datetime64[us],
tpep_dropoff_datetime,0.0,1755995,datetime64[us],
passenger_count,0.2921048117138524,10,float64,0.017132322600754007
trip_distance,0.0,4777,float64,2.9799545704583413e-05
RatecodeID,0.2921048117138524,7,float64,0.029763034549485905
store_and_fwd_flag,0.2921048117138524,2,str,
PULocationID,0.0,262,int32,0.0
DOLocationID,0.0,260,int32,0.0
payment_type,0.0,5,int64,0.019608906466743035
fare_amount,0.0,12867,float64,0.013750476859847368
extra,0.0,45,float64,0.010386886696489479
mta_tax,0.0,6,float64,0.02313062214739822
tip_amount,0.0,4326,float64,0.02497550933732522
tolls_amount,0.0,1495,float64,0.06294764756748455
improvement_surcharge,0.0,4,float64,0.04067208445674488
total_amount,0.0,21228,float64,0.0240052790834841
congestion_surcharge,0.2921048117138524,3,float64,0.008174203311830231
Airport_fee,0.2921048117138524,8,float64,0.06378767259910295
cbd_congestion_fee,0.0,3,float64,0.006764496874940434
